# mypy baseline — generated by scripts/mypy_baseline.py
# Format: <path>|<error-code>|<message>
# Checked by .github/workflows/quality_gates.yml. Refresh with:
#   python scripts/mypy_baseline.py --update
alembic/env.py|attr-defined|Module "alembic" has no attribute "context"
alembic/versions/001_phase3_initial_schema.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/002_add_ai_compliance_builder_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/003_add_asset_management_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/004_add_capacity_planning_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/005_add_cost_management_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/006_add_change_management_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/007_add_ai_advanced_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/008_add_collaboration_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/009_add_plugin_marketplace_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/010_add_business_impact_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/011_add_chaos_engineering_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/012_add_performance_indexes.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/013_add_retriever_config_model.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/014_add_fusion_config_model.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/015_add_cross_layer_tracking_config_model.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/016_add_graphql_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/017_add_service_mesh_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/018_add_integration_ecosystem_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/019_add_database_monitoring_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/020_add_security_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/021_add_frontend_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/022_add_monitoring_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/023_add_testing_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/024_add_plugin_system_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/025_add_infrastructure_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/026_update_chaos_models.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/027_create_missing_model_tables.py|attr-defined|Module "alembic" has no attribute "op"
alembic/versions/028_drop_orphan_tables.py|attr-defined|Module "alembic" has no attribute "op"
api/advanced_ai_router.py|attr-defined|Module "core.advanced_ai_capabilities" has no attribute "advanced_ai_capabilities"; maybe "AdvancedAICapabilities"?
api/ai_advanced_router.py|arg-type|Argument "batch_size" to "VectorizerConfigResponse" has incompatible type "Column[int]"; expected "int"
api/ai_advanced_router.py|arg-type|Argument "capabilities" to "CapabilityEvaluationResponse" has incompatible type "Column[Any]"; expected "dict[str, float]"
api/ai_advanced_router.py|arg-type|Argument "config_id" to "VectorizerJobResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "description" to "RunbookResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "dimensions" to "VectorizerConfigResponse" has incompatible type "Column[int]"; expected "int"
api/ai_advanced_router.py|arg-type|Argument "document_count" to "KnowledgeBaseResponse" has incompatible type "Column[int]"; expected "int"
api/ai_advanced_router.py|arg-type|Argument "error_message" to "EvaluationTaskResponse" has incompatible type "Column[str]"; expected "str | None"
api/ai_advanced_router.py|arg-type|Argument "error_message" to "VectorizerJobResponse" has incompatible type "Column[str]"; expected "str | None"
api/ai_advanced_router.py|arg-type|Argument "id" to "AnalysisReportResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "id" to "CapabilityEvaluationResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "id" to "EvaluationTaskResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "id" to "FineTuningJobResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "id" to "KnowledgeBaseResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "id" to "RunbookResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "id" to "VectorizerConfigResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "id" to "VectorizerJobResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "model" to "VectorizerConfigResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "model_id" to "CapabilityEvaluationResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "model_id" to "EvaluationTaskResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "model_name" to "CapabilityEvaluationResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "model_name" to "FineTuningJobResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "name" to "KnowledgeBase" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "name" to "KnowledgeBaseResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "name" to "RunbookResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "name" to "VectorizerConfigResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "overall_score" to "CapabilityEvaluationResponse" has incompatible type "Column[Any]"; expected "float"
api/ai_advanced_router.py|arg-type|Argument "processed_items" to "VectorizerJobResponse" has incompatible type "Column[int]"; expected "int"
api/ai_advanced_router.py|arg-type|Argument "progress" to "EvaluationTaskResponse" has incompatible type "Column[Any]"; expected "float"
api/ai_advanced_router.py|arg-type|Argument "progress" to "FineTuningJobResponse" has incompatible type "Column[Any]"; expected "float"
api/ai_advanced_router.py|arg-type|Argument "results" to "EvaluationTaskResponse" has incompatible type "Column[Any]"; expected "dict[str, Any] | None"
api/ai_advanced_router.py|arg-type|Argument "status" to "EvaluationTaskResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "status" to "VectorizerConfigResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "status" to "VectorizerJobResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "steps" to "RunbookResponse" has incompatible type "Column[Any]"; expected "list[dict[str, Any]]"
api/ai_advanced_router.py|arg-type|Argument "task_name" to "EvaluationTaskResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "task_type" to "EvaluationTaskResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument "total_items" to "VectorizerJobResponse" has incompatible type "Column[int]"; expected "int"
api/ai_advanced_router.py|arg-type|Argument "type" to "AnalysisReportResponse" has incompatible type "Column[str]"; expected "str"
api/ai_advanced_router.py|arg-type|Argument 1 to "_get_fine_tuning_jobs" has incompatible type "Session | None"; expected "Session"
api/ai_advanced_router.py|arg-type|Argument 2 to "_set_fine_tuning_job" has incompatible type "Session | None"; expected "Session"
api/ai_advanced_router.py|assignment|Incompatible types in assignment (expression has type "Column[Any] | dict[Never, Never]", variable has type "Column[Any]")
api/ai_advanced_router.py|assignment|Incompatible types in assignment (expression has type "None", variable has type "Column[Any]")
api/ai_advanced_router.py|assignment|Incompatible types in assignment (expression has type "bool", variable has type "Column[bool]")
api/ai_advanced_router.py|assignment|Incompatible types in assignment (expression has type "dict[str, Collection[str]]", variable has type "Column[Any]")
api/ai_advanced_router.py|assignment|Incompatible types in assignment (expression has type "float", variable has type "Column[Any]")
api/ai_advanced_router.py|assignment|Incompatible types in assignment (expression has type "int", variable has type "Column[int]")
api/ai_advanced_router.py|assignment|Incompatible types in assignment (expression has type "list[dict[str, Any]]", variable has type "Column[Any]")
api/ai_advanced_router.py|assignment|Incompatible types in assignment (expression has type "list[str]", variable has type "Column[Any]")
api/ai_advanced_router.py|assignment|Incompatible types in assignment (expression has type "str", variable has type "Column[str]")
api/ai_advanced_router.py|attr-defined|Module "core.ai.langgraph.executor" has no attribute "execute_workflow"
api/ai_advanced_router.py|attr-defined|Module "core.ai.langgraph.visualizer" has no attribute "generate_graph_viz"
api/ai_advanced_router.py|attr-defined|Module "core.ai.langgraph.workflow" has no attribute "create_workflow"
api/ai_advanced_router.py|attr-defined|Module "core.ai.llm_router.capability_evaluator" has no attribute "evaluate_model"
api/ai_advanced_router.py|attr-defined|Module "core.ai.llm_router.cost_optimizer" has no attribute "optimize_model_cost"
api/ai_advanced_router.py|attr-defined|Module "core.ai.rag.fusion" has no attribute "fuse_results"
api/ai_advanced_router.py|attr-defined|Module "core.ai.rag.knowledge_base" has no attribute "create_knowledge_base"
api/ai_advanced_router.py|attr-defined|Module "core.ai.rag.knowledge_base" has no attribute "delete_knowledge_base"
api/ai_advanced_router.py|attr-defined|Module "core.ai.rag.reranker" has no attribute "rerank"
api/ai_advanced_router.py|attr-defined|Module "core.ai.rag.retriever" has no attribute "retrieve"; maybe "Retriever"?
