"ProcessId","CommandLine"
"16600","""c:\Program Files\Python312\python.exe"" c:\Users\Hualong_Chen\.devin\extensions\ms-python.flake8-2025.2.0-universal\bundled\tool\lsp_server.py"
"41072","""C:\Program Files\Python312\python.exe"" scripts/run_core_api_infrastructure_tests.py"
"48568","python  run_cov_baseline.py"
"44824","""C:\Program Files\Python312\python.exe"" scripts/run_core_api_infrastructure_tests.py"
"24016","""C:\Program Files\Python312\python.exe"" -m pytest C:\AIOps_Agent_bak\tests\test_advanced_ai_capabilities.py C:\AIOps_Agent_bak\tests\test_alert_engine.py C:\AIOps_Agent_bak\tests\test_alert_engine_enhanced.py C:\AIOps_Agent_bak\tests\test_api_response_format.py C:\AIOps_Agent_bak\tests\test_audit_service.py C:\AIOps_Agent_bak\tests\test_auth.py C:\AIOps_Agent_bak\tests\test_authentication_enhanced.py C:\AIOps_Agent_bak\tests\test_auto_heal.py C:\AIOps_Agent_bak\tests\test_causal.py C:\AIOps_Agent_bak\tests\test_collector.py C:\AIOps_Agent_bak\tests\test_command_guard.py C:\AIOps_Agent_bak\tests\test_config.py C:\AIOps_Agent_bak\tests\test_config_coverage.py C:\AIOps_Agent_bak\tests\test_core_business_logic.py C:\AIOps_Agent_bak\tests\test_data_privacy.py C:\AIOps_Agent_bak\tests\test_db_optimization_real.py C:\AIOps_Agent_bak\tests\test_db_replication.py C:\AIOps_Agent_bak\tests\test_enterprise_functionality.py C:\AIOps_Agent_bak\tests\test_environments.py C:\AIOps_Agent_bak\tests\test_grpc.py C:\AIOps_Agent_bak\tests\test_health_check.py C:\AIOps_Agent_bak\tests\test_hitl.py C:\AIOps_Agent_bak\tests\test_i18n.py C:\AIOps_Agent_bak\tests\test_l4_storage.py C:\AIOps_Agent_bak\tests\test_l4_storage_layer.py C:\AIOps_Agent_bak\tests\test_l4_storage_manager_enhanced.py C:\AIOps_Agent_bak\tests\test_langgraph.py C:\AIOps_Agent_bak\tests\test_linux_repair.py C:\AIOps_Agent_bak\tests\test_llm_router.py C:\AIOps_Agent_bak\tests\test_main_app_post_routes.py C:\AIOps_Agent_bak\tests\test_main_app_routes.py C:\AIOps_Agent_bak\tests\test_main_import.py C:\AIOps_Agent_bak\tests\test_models.py C:\AIOps_Agent_bak\tests\test_multi_tenant.py C:\AIOps_Agent_bak\tests\test_notify_engine.py C:\AIOps_Agent_bak\tests\test_p2_enhancements.py C:\AIOps_Agent_bak\tests\test_password_policy.py C:\AIOps_Agent_bak\tests\test_plugin_system.py C:\AIOps_Agent_bak\tests\test_priority.py C:\AIOps_Agent_bak\tests\test_rate_limiter.py C:\AIOps_Agent_bak\tests\test_rbac.py C:\AIOps_Agent_bak\tests\test_root_cause_intelligence.py C:\AIOps_Agent_bak\tests\test_security_hardening.py C:\AIOps_Agent_bak\tests\test_sso_auth.py C:\AIOps_Agent_bak\tests\test_stats_engine.py C:\AIOps_Agent_bak\tests\test_topology_engine.py C:\AIOps_Agent_bak\tests\test_workflow_engine.py -m ""not performance"" --cov-append --timeout=120 --tb=short -v"
"50280","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"48368","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"42452","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"5916","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"42656","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"36660","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"52116","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"19760","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"52380","""C:\Program Files\Python312\python.exe"" -m pytest tests/test_main_app_routes.py -m ""not performance"" --cov-append --timeout=120 --tb=short -v"
"28796","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"52368","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"51316","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"46020","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"50572","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"45520","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"36792","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
"45244","""C:\Program Files\Python312\python.exe"" -u -c ""import sys;exec(eval(sys.stdin.readline()))"""
